time,posx,posy,posz,vx,vy,vz,ax,ay,az
6.95,-301.9690717,-2106.600889,0.013311515,34.18510818,0.011637695,0.256068975,3.195374489,-0.000886085,0.028149916
7,-301.9391573,-2108.313992,0.013321972,34.34435272,-0.000915552,0.25730136,3.184947968,-0.552826703,0.017404817
7.05,-301.909775,-2110.035047,0.013306516,34.50271606,-0.028794196,0.258476704,3.166574955,-1.769554377,0.015351676
7.1,-301.8831694,-2111.764041,0.01330044,34.65992355,-0.046177611,0.260752052,3.141572714,-2.547605991,0.034959584
7.15,-301.8617629,-2113.500961,0.013291904,34.81677628,-0.052323904,0.262183279,3.132956266,-2.943730116,0.031537894
7.2,-301.8471557,-2115.24579,0.013272584,34.97334671,-0.049521074,0.262671083,3.126969814,-2.995910406,0.016517712
7.25,-301.8400156,-2116.998499,0.013258733,35.13002396,-0.041621484,0.263873696,3.129823685,-2.804675579,0.026189359
7.3,-301.8402387,-2118.759049,0.013247318,35.28654861,-0.032115474,0.264755547,3.12783289,-2.473104239,0.023242168
7.35,-301.8471869,-2120.5274,0.013237619,35.4426651,-0.021815227,0.265486091,3.12078166,-2.045306206,0.013026429
7.4,-301.8598769,-2122.303517,0.013219342,35.59846878,-0.011205581,0.266905159,3.115354776,-1.57755971,0.026077712
7.45,-301.8771946,-2124.08737,0.013214429,35.75373459,-0.001595419,0.268394738,3.105161428,-1.123256803,0.028579423
7.5,-301.8979882,-2125.878938,0.01320271,35.90851212,0.007250258,0.269286662,3.095640183,-0.682508588,0.018181274
7.55,-301.9211267,-2127.678202,0.013188455,36.06280899,0.015276055,0.2705836,3.08609128,-0.266251922,0.02464918
7.6,-301.9456177,-2129.485153,0.013178822,36.21666718,0.020740613,0.271897346,3.077159882,0.120945722,0.02738356
7.65,-301.9704549,-2131.299781,0.013169634,36.37005997,0.023970481,0.272814602,3.067573071,0.493020266,0.018451069
7.7,-301.9946026,-2133.122075,0.013153793,36.5229454,0.025974482,0.273988217,3.057161808,0.83090198,0.023522535
7.75,-302.017099,-2134.952021,0.013144327,36.67523575,0.027552029,0.275221974,3.044972181,1.117574692,0.025408057
7.8,-302.0371042,-2136.7896,0.013131784,36.82705307,0.029860253,0.27610296,3.03528142,1.358146071,0.019415071
